QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,District,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,1,yes,,2025,1,ODK Server,ETHIOPIA,Amhara,National,ETHIOPIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,0,no,,2025,1,ODK Server,ETHIOPIA,Dire Dawa,National,ETHIOPIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,0,no,,2025,1,ODK Server,ETHIOPIA,Harari,National,ETHIOPIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,0,no,,2025,1,ODK Server,ETHIOPIA,Gambella,National,ETHIOPIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,0,no,,2025,1,ODK Server,ETHIOPIA,SNNPR,National,ETHIOPIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,0,no,,2025,1,ODK Server,ETHIOPIA,Somali,National,ETHIOPIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,0,no,,2025,1,ODK Server,ETHIOPIA,Oromiya,National,ETHIOPIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,1,yes,,2025,1,ODK Server,GUINEA,Nzerekore,National,GUINEA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,1,yes,,2024,2,ODK Server,NIGERIA,Federal Capital Territory,National,NIGERIA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
2,funct_nat_ref_lab,English,01 - Laboratory,01-LAB,1,10,0.100000,1.250000,0.125000,01 - Laboratory,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?,0,no,,2024,2,ODK Server,SOUTH AFRICA,North west,National,SOUTH AFRICA,English,data,2,Is there at least a functional Subnational Referral Laboratory in existence with molecular biology capacity for Mpox disease  diagnosis using PCR/RT-PCR in your Province/District/County/State?
