QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,District,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",0,no,,2025,1,ODK Server,CENTRAL AFRICAN REPUBLIC,Bamingui-Bangoran,National,CENTRAL AFRICAN REPUBLIC,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",1,yes,,2025,1,ODK Server,CHAD,Logone Occidental,National,CHAD,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",0,no,,2025,1,ODK Server,CHAD,Ouaddai,National,CHAD,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",0,no,,2025,1,ODK Server,CHAD,Sila,National,CHAD,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",1,yes,,2025,1,ODK Server,REPUBLIC OF CONGO,Brazzaville,National,REPUBLIC OF CONGO,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",0,no,,2025,1,ODK Server,ZAMBIA,Central,National,ZAMBIA,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",1,yes,,2025,1,ODK Server,ZAMBIA,Copperbelt,National,ZAMBIA,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",0,no,,2025,1,ODK Server,ZAMBIA,Luapula,National,ZAMBIA,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",0,no,,2025,1,ODK Server,ZAMBIA,Lusaka,National,ZAMBIA,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
1,coord_subnational_pheoc_ready,English,01. Coordination,01. COORD,1,10,0.083333,1.428571,0.1429,01. Coordination,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood",1,yes,,2025,1,ODK Server,ZAMBIA,Muchinga,National,ZAMBIA,English,data,3,"1.1 - Subnational (Province/District/County etc) PHEOC/EOC ready for activation are inplace with required, SOPs, roles and responsibilities, communication trees, etc are updated, disseminated and understood"
