QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
1,nat_policy_legislative_framework,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,National policy & legislative frameworks to enable implementation of VHF Preparedness measures are in place,1,yes,,,0,ODK Server,CAMEROON,National,CAMEROON,English,data,1,National policy & legislative frameworks to enable implementation of VHF Preparedness measures are in place
1,nat_policy_legislative_framework,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,National policy & legislative frameworks to enable implementation of VHF Preparedness measures are in place,1,yes,,,0,ODK Server,GABON,National,GABON,English,data,1,National policy & legislative frameworks to enable implementation of VHF Preparedness measures are in place
2,emergency_visa_clearance,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,Visa clearance for emergency deployment are expedited,0,no,,,0,ODK Server,CAMEROON,National,CAMEROON,English,data,2,Visa clearance for emergency deployment are expedited
2,emergency_visa_clearance,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,Visa clearance for emergency deployment are expedited,0,no,,,0,ODK Server,GABON,National,GABON,English,data,2,Visa clearance for emergency deployment are expedited
3,nat_multisectorial_taskforce,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the National level,0,no,,,0,ODK Server,CAMEROON,National,CAMEROON,English,data,3,Multi-sectoral Taskforce/IMS are activated at the National level
3,nat_multisectorial_taskforce,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the National level,0,no,,,0,ODK Server,GABON,National,GABON,English,data,3,Multi-sectoral Taskforce/IMS are activated at the National level
4,clearTOR_taskforce,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,"Clear ToRs for the Taskforce/IMS and Organogram -  for strategic, operational, tactical levels are developed",0,no,,,0,ODK Server,CAMEROON,National,CAMEROON,English,data,4,"Clear ToRs for the Taskforce/IMS and Organogram -  for strategic, operational, tactical levels are developed"
4,clearTOR_taskforce,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,"Clear ToRs for the Taskforce/IMS and Organogram -  for strategic, operational, tactical levels are developed",0,no,,,0,ODK Server,GABON,National,GABON,English,data,4,"Clear ToRs for the Taskforce/IMS and Organogram -  for strategic, operational, tactical levels are developed"
5,stract_ops_tact_sop,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,"Guidelines /SOPS for operations of the strategic, operational, tactical levels are developed",1,yes,,,0,ODK Server,CAMEROON,National,CAMEROON,English,data,5,"Guidelines /SOPS for operations of the strategic, operational, tactical levels are developed"
5,stract_ops_tact_sop,English,01 - Coordination,01 - Coord,1,10,0.090909,0.400000,0.04000,01 - Coordination,"Guidelines /SOPS for operations of the strategic, operational, tactical levels are developed",1,yes,,,0,ODK Server,GABON,National,GABON,English,data,5,"Guidelines /SOPS for operations of the strategic, operational, tactical levels are developed"
