_N,Country,Level,Year,Start_date,End_date,Subgroup_of_Hazards,Main_Type_of_Hazard,Hazard,Health_consequences,Scale,Geographical_Area,Exposure,Frequency,Seasonality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Likelihood,Severity,Vulnerability,Vulnerability_Details,Coping_capacity,Coping_capacity_details,Governance_and_Resouces,Health_Sector_Capacity,Non_Health_Sector_Capcity,Commuty_Capacity,Resources,Impact,Confidence_level,Risk_level,Risk_level_Number,Status
46,Zambia,National,2022,7/25/2022,7/29/2022,Technological,Technological,Chemical Hazards,"Headache, Increased respiratory disease (bronchities, Asthma, irriations), Cardiovascular diseases. Cancer, reduced lung function, congenital defects, irritation of eyes, nose, thraot.",Sub-National,"Copperbelt,Lusaka,North Western", Estimated 0.04% of the pupulation under 35  ,Random,No,,,,,,,,,,,,,Probable,Very low,Partial,"•Poor waste management
•Poor water reticulation system
•Social-economic hardships",Partial,,Public health emergency response committee      ,Access to therapeutics ,Public Private Partnerships,Neighbourhood health committees,,Minor,Satisfactory,Low,2,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Technological,Technological,Mining hazards,"Immediate: Headache, Increased respiratory disease (bronchities, Asthma, irriations), Cardiovascular diseases, reduced lung function, congenital defects, irritation of eyes, nose, thraot
Long Term: premature death, cancer, silicosis",Sub-National,"Central,Copperbelt,North Western,Southern", Estimated 2Million (40% ) of the population in minining areas are exposed to the effects of mining activities ,Random,No,,,,,,,,,,,,,Almost sure,Moderate,Partial,"•Proximity of industrial establisments (Mines)
•Unplanned settlements 
•Low social economic status
•Overcrowding",High,,well established occupational safety department ,Established response units,,comminity awareness programs,,Moderate,Satisfactory,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Technological,Technological,Radiation agents,"Immediate: Acute effects (radiation injuries, radiation sickness)
Medium: Long-term effects (Cancer)",Sub-National,"Copperbelt,Lusaka,North Western", An estimated 3 million people are found in areas prone to radiation exposure.   ,Random,No,,,,,,,,,,,,,Probable,High,High,"•Failure to provide sercurity by relevant authorities
•Poor maintenance of equipment
•Skills gap 
•Non adherenace by communities to safety and security awareness messages",Partial,,Presence of a regulatory body,Presense of Radiation Protection officers who report to the regulatory body,Surveillance sercurity system in place,,"International atomic energy agency (IAEA) project on nuclear and radiological emergency, preparedness  and response program.",Severe,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Technological,Technological,"Transportation accidents (RTA, Boat or Ferry capsize, air crash, maritime) ","Immediate: Trauma, body injuries, disabilities, deaths",National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western","    About 176 per 100,000 of the  population are involced in RTC's . 12 per 100,000 population fatalities are recorded (RTA hostspots exist in Lusaka, central, Northern, North-western, Copperbelt, Muchinga and Southern)",Perennial,Yes,4,3,2,4,2,1,2,1,1,2,3,4,Almost sure,High,Partial,"•Poor road infrastructure
•Human error
•Inadequate post crash care
•Inadequate/ No road signage ",High,,"Existence of regulatory bodies i.e. RTSA, ZP(Traffic section) and Defence forces","•Upgrading of existing hospitals to include Trauma centers
•Capacity building to handle Trauma i.e. Specialised Nurses, Doctors, etc",Availability of rapid response Vehicles on the road,"Trained traffic wardens and first aid respondants in communities
•Sensitization and awareness programs on road safety",Available resources for preparedness and response,Moderate,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Technological,Technological,Mining hazards,"Immediate: Headache, Increased respiratory disease (bronchities, Asthma, irriations), Cardiovascular diseases, reduced lung function, congenital defects, irritation of eyes, nose, thraot
Long Term: premature death, cancer ",Local,Copperbelt (Western part),"An estimated 926,626 of the population are exposed to mining effluents.",Random,No,,,,,,,,,,,,,Probable,High,High,"•Proximity of industrial establisments (Mines)
•Unplanned settlements 
•Low social economic status
•Poor drainage systems",High,,•well established occupational safety department •Existence of Zambia environmental Management agency (ZEMA)•Local government authorities,•Established response units,Existing surveillance,comminity awareness programs,•Multisectoral stractures for supporting vulnerable populations in case of any occurence•Ability to mobilize funds when needed,Moderate,Satisfactory,Moderate,3,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Weather-related,Weather-related,Flood,"(1) Drowning (accounts for 75% of deaths in flood disasters)
(2) Deaths from physical trauma, heart attacks, electrocution, carbon monoxide poisoning or fire associated with flooding
(3) Water- and vector-borne diseases, such as cholera, typhoid or malaria
(4) Injuries, such as lacerations or punctures from evacuations and disaster cleanup chemical hazards (5) Mental health effects associated with emergency situations (6) Disrupted health systems, facilities and services, leaving communities without access to health care (7) Damaged basic infrastructure, such as food and water supplies, and safe shelter  (8) Increased as gender-based violence or abuse and associated health consequencies of flood relief services and recovery",National,"Central(Kapiri Mposh, Shibuyunji, Chibombo and Mumbwa districts),Copperbelt (Lufwanyama district),Eastern (Mambwe, Chama districts),Luapula (Lunga district),Lusaka (Lusaka, Kafue districts), Muchinga (Isoka, Chinsali , Mpika districts ),North Western (Zambezi, Chavuma district), Southern (Namwala, Monze, Itezhi Tezhi, Mazabuka, Chikankata districts),Western (Kalabo, Mitete) ,Northern(Chilubi district).","An extimated total 200000 people are at risk of floods as follows: Central  4470 people (Kapiri Mposhi, Shibuyunji, Chibombo and Mumbwa rural districts),Copperbelt 8304 people (Lufwanyama rural district),Eastern 7411 (Mambwe, Chama rural districts),Luapula 2509 people (Lunga rural district),Lusaka 27884 people (Lusaka - urban, Kafue - peri-urban districts), Muchinga 9227 people (Isoka rural, Chinsali per-urban , Mpika peri-urban districts ),North Western 21482 people (Zambezi, Chavuma rural districts), Southern 101442 people (Namwala rural, Monze - rural, Itezhi Tezhi - rural, Mazabuka - peri urban, Chikankata rural districts),Western 17272 people(Kalabo, Mitete rural districts) ",Perennial,Yes,4,4,3,1,1,1,1,1,1,1,1,2,Very likely,High,High,"Population at risk include  the maginalized ( differently abled people, orphans, women, the aged, female headed households).  High number of unprotected water sources ( 82%  do not treat their water ), Practice open defeacation, high enteric disease conditions in children  (40%),  poor  solid waste management ( 71% use pity latrines) high malnutrition levels (35%) poor housing conditions, unemployed with no source of regular income.  (ZVAC 2020 and ZDHS 2018) ",Partial,,• Contigency plan and in country financing • Functional EOC and multisectoral mechanism ,• Event based surveillance and Lab network capacities  •Availabity of RRT and  health workforce capacitiies,"• Human resource relevant to emergency preparedness, response and recovery;limited flood adaptation capacity • Early warning systems  for hydro-meteorological; limited dissemination of early warning information",Low knowledge levels and poor practices as related to floods • Community perception and attitudes,"• Inadequate mechanisms for logistics, storage and essential supplies • Structures available for supporting vulnerable populations and inadequate contigency funds ",Severe,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Weather-related,Weather-related,Drought,"
(1) Malnutrition (including micronutrient deficiency and iron-deficiency anaemia) (2) Food and water insecurity (3) Increased risk of infectious diseases outbreaks (cholera, diarrhoea, pneumonia and scabies) and death due to malnutrition, lack of WASH and displacement (4) Decrease of Household buying power and potential disruption of health services (5) Increased stress and mental health disorders (6) Further risk to those impacted by lung diseases, asthma or chronic diseases (heart, respiratory) (7) Increased Zoonotic diseases in livestock which can be passed on to human beings (8) Increased Sexual and Gender Based Violence (GBV) (10) Increased human animal conflict resulting in injury, diseases, and death. ",National,"Central (Luano district),Eastern (Nyimba, Mambwe districts),Lusaka (Luangwa, Rufunsa districts),Southern (Siavonga, Gwembe, Sinazongwe, Chirundu, Kazungula districts ),Western (Mwandi, Sesheke, Sioma, Shan'gombo districts)",An extimate of about 7.2 million people live in areas affected by drought in the current climate conditions as listed in the geographical area section.,Perennial,Yes,4,4,3,2,1,1,1,1,1,1,2,3,Very likely,Moderate,High," Population at risk include  the maginalized (differently abled people, orphans, women, the aged, female headed households).  High food insecurity with food stocks only enough to last for three months,  number of unprotected water sources ( 82%  do not treat their water ), poor  solid waste management ( 71% use pity latrines), high enteric disease conditions in children  (40%), high malnutrition levels, unemployed with no source of regular income.",Partial,,• Contigency plan and in country financing • Functional EOC and multisectoral mechanism,• Event based surveillance and Lab network capacities • Availabity of RRT and  health workforce capacitiies ,"• Human resource relevant to emergency preparedness, response and recovery • Limited drought adaptation capacity • Early warning systems  for hydro-meteorological; Limited dissemination of early warning information",Low knowledge levels and poor practices as related to drought,"• Inadequate mechanisms for logistics, storage and essential supplies • Structures available for supporting vulnerable populations and inadequate contigency funds ",Moderate,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Hydro-meteorological,Weather-related,Stormy,"(1) Increased cases of drowning and other physical trauma; 
(2) Increased risks of water- and vector-borne infectious diseases; 
(3) Psychosocial and mental health effects associated with emergency situations; (4) Disruption of health systems, facilities and services, leaving communities without access to health care when they are needed most; (5) Damage to basic infrastructure, such as food and water supplies and safe shelter (6) Deaths from physical trauma, heart attacks, electrocution, carbon monoxide poisoning or fire associated with flooding  (7) Increased as gender-based violence or abuse and associated health consequencies of storm relief services and recovery (8) Food and water insecurity",Sub-National,"Eastern (Lundazi, Sinda, Kasenengwa districts),Lusaka (Lusaka district),North Western (Kalumbila, Mushindamo districts),Northern (Mporokoso, Chilubi, Senga Hill, Lunte, Kaputa, Mungwi districts), Southern (Kazungula district)",An extimated total 60000 people are at risk of storms.,Frequent,Yes,4,4,3,1,1,1,1,1,1,1,2,3,Probable,Low,High," Population at risk include  the maginalized ( different abled people, orphans, women, the aged, female headed households).  High number of unprotected water sources ( 82%  do not treat their water ), Practice open defeacation, high enteric disease conditions in children  (40%),  poor  solid waste management ( 71% use pity latrines) high malnutrition levels (35%) poor housing conditions, unemployed with no source of regular income.  (ZVAC 2020 and ZDHS 2018) ",Partial,,"Governance
• Contigency plan and in country financing • Functional EOC and multisectoral mechanism 
Resource
 • Inadequate mechanisms for logistics, storage and essential supplies • Structures available for supporting vulnerable populations and inadequate contigency funds ",• Event based surveillance and Lab network capacities • Availabity of RRT and  health workforce capacities ,"• Human resource relevant to emergency preparedness, response and recovery• Inadequate resilience • Early warning systems  for hydro-meteorological• limited dissemination of early warning information",• Low knowledge levels and poor practices as related to hail storms,,Moderate,Good,Moderate,3,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Respiratory pathogen,Biological,Measles/Rubella,"(1) Symptoms may include fever, conjuctivitis, coryza, marculoparpular rash, cough
(2) Disease severity and fatal outcome in some cases. 
(3) Blindness, Death, intellectual disabilities, pneumonia, enchephalytis ",National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western","    1. unvaccinated under fiver c hildren is 357,200.
2.  Popualtion at risk 321480 ( attack rate 90%)  ",Perennial,No,,,,,,,,,,,,,Very likely,High,Partial,"• Low herd immunity due to low vaccination coverage (89% for MR1)
• Hard to reach population due to distance 
• Hard to reach population due to religiuos beliefs
• Cross border transmission 
• ",High,,"Governance
• Multisectoral Coordination in place • Functional EOC•Provinsional of emergency funds • Political will
Resource
• Provisiona of an emergence funds• Availability of comodities such as vacines • Available marine transport sitting with other sector","• Inter-Agency Coordination Committee • Functuional EPI System• Functional Surveillance System • Trained RRT at all levels • Availability of policies, guidelines and standards to",• Human resource  • Media Houses for awareness available ,• Low knowledge levels and poor practices as related to hail storms,,Moderate,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Respiratory pathogen,Biological,Severe Acute Respiratory Syndrome (SARS),"1. fever, loss of smell and taste, pneumonia, sepsis, cough, chest pains respiratory failure
2.coagulopathy
3.death, 
4. socio-economic lossess
5. overload of health facilities and health services",National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western","  1. 19,000,000 are susceptible to SARI  ",Perennial,Yes,4,4,3,2,3,4,4,3,2,2,3,4,Almost sure,Very High,High,"• Low herd immunity due to low vaccination coverage (45%)
• Hard to reach population due to distance 
• Hard to reach population due to religiuos beliefs
• International travels
. Congregate settings such as schools, places of worship etc

",Partial,,"Governance
• Multisectoral Coordination in place • Functional EOC •  Provinsional of emergency funds •  Political will
Resource
• Provisiona of an emergence funds • Availability of comodities such as vacines • Available marine transport sitting with other sectors •  Partner support for covid-19 response • Laboratory capacity "," • Inter-Agency Coordination Committee • Functuional EPI System• Functional Surveillance System • Trained RRT at all levels • Availability of policies, guidelines and standards for covid-19 • Availability of covid-19 contingency plan ",• Human resource • Media Houses for awareness available ,• Availability of community stractures to support response activities (Traditional Authority etc),,Severe,Good,Very high,5,1
