QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
1,opr_incident_mgr_identified,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.01 - WHO Incident Manager Identified with key Incident Management functions identified and communicated to Regional Office. (ERF),1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,1,1.01 - WHO Incident Manager Identified with key Incident Management functions identified and communicated to Regional Office. (ERF)
1,opr_incident_mgr_identified,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.01 - WHO Incident Manager Identified with key Incident Management functions identified and communicated to Regional Office. (ERF),1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,1,1.01 - WHO Incident Manager Identified with key Incident Management functions identified and communicated to Regional Office. (ERF)
2,opr_public_health_assess,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.02 - Public health and risk assessment conducted with health sector. (IDSR),1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,4,1.02 - Public health and risk assessment conducted with health sector. (IDSR)
2,opr_public_health_assess,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.02 - Public health and risk assessment conducted with health sector. (IDSR),1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,4,1.02 - Public health and risk assessment conducted with health sector. (IDSR)
3,opr_contingency_plan_ready,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.03 - Health Sector Contingency Plan developed and tested with partners outlining immediate preparedness actions and response strategy. (IASC Contingency plan template),0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,7,1.03 - Health Sector Contingency Plan developed and tested with partners outlining immediate preparedness actions and response strategy. (IASC Contingency plan template)
3,opr_contingency_plan_ready,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.03 - Health Sector Contingency Plan developed and tested with partners outlining immediate preparedness actions and response strategy. (IASC Contingency plan template),1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,7,1.03 - Health Sector Contingency Plan developed and tested with partners outlining immediate preparedness actions and response strategy. (IASC Contingency plan template)
4,opr_emergency_stocks_prepos,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.04 - Emergency stocks pre-positioned at the sub-regional or country level.,1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,10,1.04 - Emergency stocks pre-positioned at the sub-regional or country level.
4,opr_emergency_stocks_prepos,English,01 - WHO Operational Readiness,01 - OR,1,10,0.100000,2.500000,0.250000,01 - WHO Operational Readiness,1.04 - Emergency stocks pre-positioned at the sub-regional or country level.,1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,10,1.04 - Emergency stocks pre-positioned at the sub-regional or country level.
5,opr_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,0,,01 - WHO Operational Readiness:,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,13,Comments
5,opr_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,0,,01 - WHO Operational Readiness:,2024,1,ODK Server,Uganda,National,Uganda,English,data,13,Comments
