QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
1,dem_district_cyclone,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Districts at-risk for cyclone (and/or storm surge),,20,,2023-Q1,1,ODK Server,MADAGASCAR,National,MADAGASCAR,English,data,1,Districts at-risk for cyclone (and/or storm surge)
1,dem_district_cyclone,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Districts at-risk for cyclone (and/or storm surge),,10,,2023-Q1,1,ODK Server,MALAWI,National,MALAWI,English,data,1,Districts at-risk for cyclone (and/or storm surge)
1,dem_district_cyclone,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Districts at-risk for cyclone (and/or storm surge),,23,,2023-Q1,1,ODK Server,Mozambique,National,Mozambique,English,data,1,Districts at-risk for cyclone (and/or storm surge)
1,dem_district_cyclone,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Districts at-risk for cyclone (and/or storm surge),,12,,2023-Q1,1,ODK Server,ZIMBABWE,National,ZIMBABWE,English,data,1,Districts at-risk for cyclone (and/or storm surge)
2,dem_facilities_districts,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Health Facilities in At-Risk Districts,,63,,2023-Q1,1,ODK Server,MADAGASCAR,National,MADAGASCAR,English,data,2,Health Facilities in At-Risk Districts
2,dem_facilities_districts,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Health Facilities in At-Risk Districts,,27,,2023-Q1,1,ODK Server,MALAWI,National,MALAWI,English,data,2,Health Facilities in At-Risk Districts
2,dem_facilities_districts,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Health Facilities in At-Risk Districts,,125,,2023-Q1,1,ODK Server,Mozambique,National,Mozambique,English,data,2,Health Facilities in At-Risk Districts
2,dem_facilities_districts,English,01 - Demographics,01 -DEM,0,0.0000,0.000000,0.0000,0.0000,01 - Demographics,Health Facilities in At-Risk Districts,,438,,2023-Q1,1,ODK Server,ZIMBABWE,National,ZIMBABWE,English,data,2,Health Facilities in At-Risk Districts
3,dem_comments,English,Comment,Comment,0,0.0000,0.000000,0.0000,0.0000,Comment,Comment,This information are in line with Cheneso and Freddy;,,01 - Demographics:This information are in line with Cheneso and Freddy;,2023-Q1,1,ODK Server,MADAGASCAR,National,MADAGASCAR,English,data,3,Comment
3,dem_comments,English,Comment,Comment,0,0.0000,0.000000,0.0000,0.0000,Comment,Comment,"Cyclone expected to land in Southern Malawi on 10 March 2023 around 2 pm local time, 2 districts very high risk (whole of Nsanje district and parts of Chikwawa district), with the other 8 as high risk. torrential rains, strong winds and thunderstorms expected.  With these projections, external support will be required. Continued rain events expected for another 2 to 3 days. High risk of extensive flooding in low-lying districts. Estimated population to be affected is 2,156,481",,"01 - Demographics:Cyclone expected to land in Southern Malawi on 10 March 2023 around 2 pm local time, 2 districts very high risk (whole of Nsanje district and parts of Chikwawa district), with the other 8 as high risk. torrential rains, strong winds and thunderstorms expected.  With these projections, external support will be required. Continued rain events expected for another 2 to 3 days. High risk of extensive flooding in low-lying districts. Estimated population to be affected is 2,156,481",2023-Q1,1,ODK Server,MALAWI,National,MALAWI,English,data,3,Comment
