QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,0,,05 - Coordination:,2025,1,ODK Server,BOTSWANA,National,BOTSWANA,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,0,,05 - Coordination:,2025,1,ODK Server,GUINEA,National,GUINEA,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,0,,05 - Coordination:,2025,1,ODK Server,LIBERIA,National,LIBERIA,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,0,,05 - Coordination:,2025,1,ODK Server,SENEGAL,National,SENEGAL,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,0,,05 - Coordination:,2024,2,ODK Server,ANGOLA,National,ANGOLA,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,RAS,,05 - Coordination:RAS,2024,2,ODK Server,BENIN,National,BENIN,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,"1. The coordination will ensure a One Health Approach 2. Despite all the challenges, the NPHI is able to bring together different stakeholders and sectors in planning",,"05 - Coordination:1. The coordination will ensure a One Health Approach 2. Despite all the challenges, the NPHI is able to bring together different stakeholders and sectors in planning",2024,2,ODK Server,BOTSWANA,National,BOTSWANA,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,0,,05 - Coordination:,2024,2,ODK Server,BURKINA FASO,National,BURKINA FASO,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,0,,05 - Coordination:,2024,2,ODK Server,BURUNDI,National,BURUNDI,English,data,73,Comment
10,coord_comment,English,Comment,01 - COORD,0,0,0.000000,0.000000,0.000000,Comment,Comment,The IMS has been activated on 12 september 2024.,,05 - Coordination:The IMS has been activated on 12 september 2024.,2024,2,ODK Server,CAMEROON,National,CAMEROON,English,data,73,Comment
