QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
3,coord_country_plan_budget,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget,0,no,,ODK Server,Kenya,National,Kenya,English,data,1,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget
3,coord_country_plan_budget,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget,1,yes,,ODK Server,NIGER,National,NIGER,English,data,1,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget
3,coord_country_plan_budget,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget,0.5,in-process,,ODK Server,GUINEA-BISSAU,National,GUINEA-BISSAU,English,data,1,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget
3,coord_country_plan_budget,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget,0,no,,ODK Server,MALI,National,MALI,English,data,1,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget
3,coord_country_plan_budget,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget,1,yes,,ODK Server,MAURITANIA,National,MAURITANIA,English,data,1,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget
3,coord_country_plan_budget,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget,1,yes,,ODK Server,NIGER,National,NIGER,English,data,1,1.01 - The country has a meningitis epidemic preparedness and response plan with a budget
4,coord_sops_disseminated,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system",0.5,in-process,,ODK Server,Kenya,National,Kenya,English,data,3,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system"
4,coord_sops_disseminated,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system",1,yes,,ODK Server,NIGER,National,NIGER,English,data,3,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system"
4,coord_sops_disseminated,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system",0,no,,ODK Server,GUINEA-BISSAU,National,GUINEA-BISSAU,English,data,3,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system"
4,coord_sops_disseminated,English,01. Coordination,01 - COORD,1,10,0.100000,1.666667,0.166667,01. Coordination,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system",1,yes,,ODK Server,MALI,National,MALI,English,data,3,"1.02 - The SOPs for meningitis surveillance, preparedness and response to epidemics in Africa are disseminated to all levels of the health system"
