QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,1,yes,,2025-S1,1,ODK Server,burkina_faso,National,burkina_faso,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,0,no,,2025-S1,1,ODK Server,congo,National,congo,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,1,yes,,2025-S1,1,ODK Server,Cote d'Ivoire,National,Cote d'Ivoire,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,1,yes,,2025-S1,1,ODK Server,ghana,National,ghana,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,1,yes,,2025-S1,1,ODK Server,guinea,National,guinea,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,0,no,,2025-S1,1,ODK Server,kenya,National,kenya,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,0,no,,2025-S1,1,ODK Server,liberia,National,liberia,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,1,yes,,2025-S1,1,ODK Server,malawi,National,malawi,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,1,yes,,2025-S1,1,ODK Server,mali,National,mali,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
1,men_national_plan,English,01 - Advocacy and engagement,01 - Advocacy,1,10,0.250000,5.000000,0.5000,01 - Advocacy and engagement,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework,0,no,,2025-S1,1,ODK Server,mauritania,National,mauritania,English,data,1,Existence of a budgeted national plan to defeat meningitis by 2030 with a monitoring and evaluation framework
